一级类别,一级销售额,一级权重,二级类别,二级销售额,二级权重,三级类别,三级销售额,三级权重,基期销售量,基期销售额,基期价格,3月1日销售量,a3月1日销售额,平均价格,三级类指数,三级调整权重,二级类指数,二级调整权重,一级类指数,一级调整权重,总指数,二级基期价格,一级基期价格,三级真实权重,二级真实权重,一级真实权重
,,,,,,蒸青绿茶,294000,0.02%,2100,294000,140,,,,,0.00%,,,,,,,,0.000000%,,
红茶,573439780,3.96%,工夫红茶,496322380,86.55%,川红工夫　,311359600,62.73%,1003090,311359600,310.4,452,144019,318.63,102.65%,62.73%,106.61%,86.55%,106.61%,3.96%,,169.6567639,166.8469967,84.530387%,100.000000%,3.96%
,,,,,,滇红工夫,45334280,9.13%,855360,45334280,53,,,,,0.00%,,,,,,,,0.000000%,,
,,,,,,宜红工夫,45000000,9.07%,450000,45000000,100,,,,,0.00%,,,,,,,,0.000000%,,
,,,,,,昭平红,37636000,7.58%,495200,37636000,76,,,,,0.00%,,,,,,,,0.000000%,,
,,,,,,遵义红,56992500,11.48%,121800,56992500,467.92,10,6000,600,128.23%,11.48%,,,,,,,,15.469613%,,
,,,小种红茶,76500000,13.34%,松阳红茶,76500000,100.00%,510000,76500000,150,,,,,0.00%,,0.00%,,,,150,,0.000000%,0.000000%,
,,,红碎茶,617400,0.11%,南川红碎茶,617400,100.00%,1470,617400,420,,,,,0.00%,,0.00%,,,,420,,0.000000%,0.000000%,
乌龙茶,354607930,2.45%,闽南乌龙,354607930,100.00%,安溪铁观音,332416500,93.74%,1624800,332416500,204.59,,,,,0.00%,229.24%,100.00%,229.24%,2.45%,,167.8847889,167.8847889,0.000000%,100.000000%,2.45%
,,,,,,黄金桂,22191430,6.26%,487410,22191430,45.53,518,54064,104.37,229.24%,6.26%,,,,,,,,100.000000%,,
黑茶,219495350,1.52%,安化黑茶,219200000,99.87%,茯砖,102000000,46.53%,680000,102000000,150,61,11220,183.93,122.62%,46.53%,138.26%,99.87%,138.25%,1.52%,,137,471.19476,46.530000%,99.870000%,1.52%
,,,,,,黑砖,12800000,5.84%,80000,12800000,160,25,4310,172.4,107.75%,5.84%,,,,,,,,5.840000%,,
,,,,,,千两,70400000,32.12%,640000,70400000,110,32,4650,145.31,132.10%,32.12%,,,,,,,,32.120000%,,
,,,,,,三尖,34000000,15.51%,200000,34000000,170,15,5340,356,209.41%,15.51%,,,,,,,,15.510000%,,
,,,四川黑茶,295350,0.13%,康砖,295350,100.00%,2187,295350,135.05,8,1375,171.88,127.27%,100.00%,127.27%,0.13%,,,,135.05,,100.000000%,0.130000%,
白茶,1650600,0.01%,白毫银针,1036800,62.81%,白毫银针,1036800,100.00%,2880,1036800,360,9,6380,708.89,196.91%,100.00%,196.91%,62.81%,196.91%,0.01%,,360,291.1111111,100.000000%,100.000000%,0.01%
,,,新工艺白茶,613800,37.19%,新工艺白茶,613800,100.00%,2790,613800,220,,,,,0.00%,,0.00%,,,,220,,0.000000%,0.000000%,
黄茶,1521900,0.01%,黄芽茶,1521900,100.00%,蒙顶黄芽,1521900,100.00%,2670,1521900,570,28,19169,684.61,120.11%,100.00%,120.11%,100.00%,120.11%,0.01%,,570,570,100.000000%,100.000000%,0.01%
花茶,37053690,0.26%,茉莉花茶,37053690,100.00%,四川茉莉花茶,37053690,100.00%,213714,37053690,173.38,461,55644,120.7,69.62%,100.00%,69.62%,100.00%,69.62%,0.26%,,173.38,173.38,100.000000%,100.000000%,0.26%
﻿一级类别,一级销售额,一级权重,二级类别,二级销售额,二级权重,三级类别,三级销售额,三级权重,基期销售量（kg）,基期销售额（元）,基期价格（元/kg）,4月9日销售量（kg）,4月9日销售额(元),4月9日平均价格,三级类指数,三级调整权重,二级类指数,二级调整权重,一级类指数,一级调整权重,总指数,,,三级真实权重,二级真实权重,一级真实权重
绿茶,13288345279,91.79%,名优绿茶,11546655143,86.89%,巴山雀舌,556800,0.00%,1740,556800,320,,,,,0.00%,118.45%,86.89%,143.11%,91.79%,142.88%,344.7141503,151.5328871,0.000000%,86.890000%,91.79%
,,,,,,邓村绿茶,1050000000,9.09%,3500000,1050000000,300,884,290420,328.53,109.51%,9.09%,,,,,,,,9.103655%,,
,,,,,,峨眉山茶,11527680,0.10%,30336,11527680,380,86,16171,188.03,49.48%,0.10%,,,,,,,,0.100150%,,
,,,,,,贵州针,72825000,0.63%,243000,72825000,299.69,1070,351800,328.79,109.71%,0.63%,,,,,,,,0.630946%,,
,,,,,,汉中仙毫,75600000,0.65%,182000,75600000,415.38,180,108060,600.33,144.52%,0.65%,,,,,,,,0.650976%,,
,,,,,,黄山毛峰,360000000,3.12%,1300000,360000000,276.92,5059.5,615775,121.71,43.95%,3.12%,,,,,,,,3.124687%,,
,,,,,,金坛雀舌,58800000,0.51%,49000,58800000,1200,117,127400,1088.89,90.74%,0.51%,,,,,,,,0.510766%,,
,,,,,,卷曲形茶,547467900,4.74%,2013578,547467900,271.89,1651,314416,190.44,70.04%,4.74%,,,,,,,,4.747121%,,
,,,,,,六安瓜片,338000000,2.93%,1320000,338000000,256.06,1280,867200,677.5,264.59%,2.93%,,,,,,,,2.934402%,,
,,,,,,马边绿茶,2171400,0.02%,7755,2171400,280,,,,,0.00%,,,,,,,,0.000000%,,
,,,,,,茅山青锋,98560000,0.85%,308000,98560000,320,368,210710,572.58,178.93%,0.85%,,,,,,,,0.851277%,,
,,,,,,湄潭翠芽,111199000,0.96%,121000,111199000,919,42,19200,457.14,49.74%,0.96%,,,,,,,,0.961442%,,
,,,,,,湄潭毛峰,82620000,0.72%,340000,82620000,243,2,320,160,65.84%,0.72%,,,,,,,,0.721082%,,
,,,,,,蒙顶甘露,7059000,0.06%,13575,7059000,520,,,,,0.00%,,,,,,,,0.000000%,,
,,,,,,蒙顶山茶,12888720,0.11%,35802,12888720,360,250,35103,140.41,39.00%,0.11%,,,,,,,,0.110165%,,
,,,,,,蒲江雀舌,1360590,0.01%,4389,1360590,310,,,,,0.00%,,,,,,,,0.000000%,,
,,,,,,钱塘龙井,142520000,1.23%,367100,142520000,388.23,2370,692960,292.39,75.31%,1.23%,,,,,,,,1.231848%,,
,,,,,,四川扁形茶,2835835000,24.56%,5419500,2835835000,523.27,1093,552471,505.46,96.60%,24.56%,,,,,,,,24.596895%,,
,,,,,,松阳扁茶,373153202,3.23%,861538,373153202,433.12,4050,572151.85,141.27,32.62%,3.23%,,,,,,,,3.234852%,,
,,,,,,松阳香茶,156800000,1.36%,1600000,156800000,98,9129,1239392.24,135.76,138.53%,1.36%,,,,,,,,1.362043%,,
,,,,,,条形茶,1730000000,14.98%,7000000,1730000000,247.14,11663,1727723,148.14,59.94%,14.98%,,,,,,,,15.002504%,,
,,,,,,五峰绿茶,1,0.00%,1,1,1,,,,,0.00%,,,,,,,,0.000000%,,
,,,,,,信阳毛尖,304000000,2.63%,2600000,304000000,116.92,326.5,378300,1158.65,990.95%,2.63%,,,,,,,,2.633951%,,
,,,,,,宜宾早茶,3608550,0.03%,10935,3608550,330,,,,,0.00%,,,,,,,,0.000000%,,
,,,,,,永川秀芽,23173200,0.20%,36900,23173200,628,67,28425,424.25,67.56%,0.20%,,,,,,,,0.200300%,,
,,,,,,越州龙井,3146929100,27.25%,6130170,3146929100,513.35,3823,2047670,535.62,104.34%,27.25%,,,,,,,,27.290936%,,
,,,大宗绿茶,1741690136,13.11%,炒青绿茶,1524712600,87.54%,50012030,1524712600,30.49,10089,942962,93.46,306.57%,87.54%,306.57%,13.11%,,,,32.13658256,,100.000000%,13.110000%,
,,,,,,烘青绿茶,216683536,12.44%,4182365,216683536,51.81,,,,,0.00%,,,,,,,,0.000000%,,
,,,,,,蒸青绿茶,294000,0.02%,2100,294000,140,,,,,0.00%,,,,,,,,0.000000%,,
红茶,573439780,3.96%,工夫红茶,496322380,86.55%,川红工夫　,311359600,62.73%,1003090,311359600,310.4,390,115805,296.94,95.66%,62.73%,98.72%,86.55%,96.08%,3.96%,,169.6567639,166.8469967,84.530387%,86.645310%,3.96%
,,,,,,滇红工夫,45334280,9.13%,855360,45334280,53,,,,,0.00%,,,,,,,,0.000000%,,
,,,,,,宜红工夫,45000000,9.07%,450000,45000000,100,,,,,0.00%,,,,,,,,0.000000%,,
,,,,,,昭平红,37636000,7.58%,495200,37636000,76,,,,,0.00%,,,,,,,,0.000000%,,
,,,,,,遵义红,56992500,11.48%,121800,56992500,467.92,1,540,540,115.40%,11.48%,,,,,,,,15.469613%,,
,,,小种红茶,76500000,13.34%,松阳红茶,76500000,100.00%,510000,76500000,150,587,69562,118.5,79.00%,100.00%,79.00%,13.34%,,,,150,,100.000000%,13.354690%,
,,,红碎茶,617400,0.11%,南川红碎茶,617400,100.00%,1470,617400,420,,,,,0.00%,,0.00%,,,,420,,0.000000%,0.000000%,
乌龙茶,354607930,2.45%,闽南乌龙,354607930,100.00%,安溪铁观音,332416500,93.74%,1624800,332416500,204.59,,,,,0.00%,220.54%,100.00%,220.54%,2.45%,,167.8847889,167.8847889,0.000000%,100.000000%,2.45%
,,,,,,黄金桂,22191430,6.26%,487410,22191430,45.53,680,68280,100.41,220.54%,6.26%,,,,,,,,100.000000%,,
黑茶,219495350,1.52%,安化黑茶,219200000,99.87%,茯砖,102000000,46.53%,680000,102000000,150,61,11070,181.48,120.98%,46.53%,137.95%,99.87%,137.93%,1.52%,,137,471.19476,46.530000%,99.870000%,1.52%
,,,,,,黑砖,12800000,5.84%,80000,12800000,160,23,4070,176.96,110.60%,5.84%,,,,,,,,5.840000%,,
,,,,,,千两,70400000,32.12%,640000,70400000,110,34,5300,155.88,141.71%,32.12%,,,,,,,,32.120000%,,
,,,,,,三尖,34000000,15.51%,200000,34000000,170,15,4880,325.33,191.37%,15.51%,,,,,,,,15.510000%,,
,,,四川黑茶,295350,0.13%,康砖,295350,100.00%,2187,295350,135.05,11,1850,168.18,124.53%,100.00%,124.53%,0.13%,,,,135.05,,100.000000%,0.130000%,
白茶,1650600,0.01%,白毫银针,1036800,62.81%,白毫银针,1036800,100.00%,2880,1036800,360,8,6584,823,228.61%,100.00%,228.61%,62.81%,228.61%,0.01%,,360,291.1111111,100.000000%,100.000000%,0.01%
,,,新工艺白茶,613800,37.19%,新工艺白茶,613800,100.00%,2790,613800,220,,,,,0.00%,,0.00%,,,,220,,0.000000%,0.000000%,
黄茶,1521900,0.01%,黄芽茶,1521900,100.00%,蒙顶黄芽,1521900,100.00%,2670,1521900,570,38,25051,659.24,115.66%,100.00%,115.66%,100.00%,115.66%,0.01%,,570,570,100.000000%,100.000000%,0.01%
花茶,37053690,0.26%,茉莉花茶,37053690,100.00%,四川茉莉花茶,37053690,100.00%,213714,37053690,173.38,432,52069,120.53,69.52%,100.00%,69.52%,100.00%,69.52%,0.26%,,173.38,173.38,100.000000%,100.000000%,0.26%
﻿一级类别,一级销售额,一级权重,二级类别,二级销售额,二级权重,三级类别,三级销售额,三级权重,基期销售量（kg）,基期销售额（元）,基期价格（元/kg）,4月10日销售量（kg）,4月10日销售额(元),4月10日平均价格,三级类指数,三级调整权重,二级类指数,二级调整权重,一级类指数,一级调整权重,总指数,,,三级真实权重,二级真实权重,一级真实权重
绿茶,13288345279,91.79%,名优绿茶,11546655143,86.89%,巴山雀舌,556800,0.00%,1740,556800,320,,,,,0.00%,102.78%,86.89%,121.72%,91.79%,124.55%,344.7141503,151.5328871,0.000000%,86.890000%,91.79%
,,,,,,邓村绿茶,1050000000,9.09%,3500000,1050000000,300,920,49680,54,18.00%,9.09%,,,,,,,,9.103655%,,
,,,,,,峨眉山茶,11527680,0.10%,30336,11527680,380,107,18647,174.27,45.86%,0.10%,,,,,,,,0.100150%,,
,,,,,,贵州针,72825000,0.63%,243000,72825000,299.69,980,318000,324.49,108.27%,0.63%,,,,,,,,0.630946%,,
,,,,,,汉中仙毫,75600000,0.65%,182000,75600000,415.38,81,59820,738.52,177.79%,0.65%,,,,,,,,0.650976%,,
,,,,,,黄山毛峰,360000000,3.12%,1300000,360000000,276.92,3847.5,505435,131.37,47.44%,3.12%,,,,,,,,3.124687%,,
,,,,,,金坛雀舌,58800000,0.51%,49000,58800000,1200,65,64340,989.85,82.49%,0.51%,,,,,,,,0.510766%,,
,,,,,,卷曲形茶,547467900,4.74%,2013578,547467900,271.89,1630,297240,182.36,67.07%,4.74%,,,,,,,,4.747121%,,
,,,,,,六安瓜片,338000000,2.93%,1320000,338000000,256.06,1380,887600,643.19,251.19%,2.93%,,,,,,,,2.934402%,,
,,,,,,马边绿茶,2171400,0.02%,7755,2171400,280,,,,,0.00%,,,,,,,,0.000000%,,
,,,,,,茅山青锋,98560000,0.85%,308000,98560000,320,166,83180,501.08,156.59%,0.85%,,,,,,,,0.851277%,,
,,,,,,湄潭翠芽,111199000,0.96%,121000,111199000,919,45,21300,473.33,51.51%,0.96%,,,,,,,,0.961442%,,
,,,,,,湄潭毛峰,82620000,0.72%,340000,82620000,243,17,2960,174.12,71.65%,0.72%,,,,,,,,0.721082%,,
,,,,,,蒙顶甘露,7059000,0.06%,13575,7059000,520,,,,,0.00%,,,,,,,,0.000000%,,
,,,,,,蒙顶山茶,12888720,0.11%,35802,12888720,360,327,43389,132.69,36.86%,0.11%,,,,,,,,0.110165%,,
,,,,,,蒲江雀舌,1360590,0.01%,4389,1360590,310,,,,,0.00%,,,,,,,,0.000000%,,
,,,,,,钱塘龙井,142520000,1.23%,367100,142520000,388.23,2540,724050,285.06,73.42%,1.23%,,,,,,,,1.231848%,,
,,,,,,四川扁形茶,2835835000,24.56%,5419500,2835835000,523.27,991,496001,500.51,95.65%,24.56%,,,,,,,,24.596895%,,
,,,,,,松阳扁茶,373153202,3.23%,861538,373153202,433.12,5100,745791.9,146.23,33.76%,3.23%,,,,,,,,3.234852%,,
,,,,,,松阳香茶,156800000,1.36%,1600000,156800000,98,15543,1413073.73,90.91,92.77%,1.36%,,,,,,,,1.362043%,,
,,,,,,条形茶,1730000000,14.98%,7000000,1730000000,247.14,9321,1277370,137.04,55.45%,14.98%,,,,,,,,15.002504%,,
,,,,,,五峰绿茶,1,0.00%,1,1,1,,,,,0.00%,,,,,,,,0.000000%,,
,,,,,,信阳毛尖,304000000,2.63%,2600000,304000000,116.92,395,370000,936.71,801.13%,2.63%,,,,,,,,2.633951%,,
,,,,,,宜宾早茶,3608550,0.03%,10935,3608550,330,,,,,0.00%,,,,,,,,0.000000%,,
,,,,,,永川秀芽,23173200,0.20%,36900,23173200,628,74.5,36175,485.57,77.32%,0.20%,,,,,,,,0.200300%,,
,,,,,,越州龙井,3146929100,27.25%,6130170,3146929100,513.35,3993,2105800,527.37,102.73%,27.25%,,,,,,,,27.290936%,,
,,,大宗绿茶,1741690136,13.11%,炒青绿茶,1524712600,87.54%,50012030,1524712600,30.49,11038,832077,75.38,247.26%,87.54%,247.26%,13.11%,,,,32.13658256,,100.000000%,13.110000%,
,,,,,,烘青绿茶,216683536,12.44%,4182365,216683536,51.81,,,,,0.00%,,,,,,,,0.000000%,,
,,,,,,蒸青绿茶,294000,0.02%,2100,294000,140,,,,,0.00%,,,,,,,,0.000000%,,
红茶,573439780,3.96%,工夫红茶,496322380,86.55%,川红工夫　,311359600,62.73%,1003090,311359600,310.4,567,153850,271.34,87.42%,62.73%,93.00%,86.55%,93.00%,3.96%,,169.6567639,166.8469967,76.696418%,100.000000%,3.96%
,,,,,,滇红工夫,45334280,9.13%,855360,45334280,53,,,,,0.00%,,,,,,,,0.000000%,,
,,,,,,宜红工夫,45000000,9.07%,450000,45000000,100,,,,,0.00%,,,,,,,,0.000000%,,
,,,,,,昭平红,37636000,7.58%,495200,37636000,76,4050,324000,80,105.26%,7.58%,,,,,,,,9.267637%,,
,,,,,,遵义红,56992500,11.48%,121800,56992500,467.92,5,2700,540,115.40%,11.48%,,,,,,,,14.035946%,,
,,,小种红茶,76500000,13.34%,松阳红茶,76500000,100.00%,510000,76500000,150,,,,,0.00%,,0.00%,,,,150,,0.000000%,0.000000%,
,,,红碎茶,617400,0.11%,南川红碎茶,617400,100.00%,1470,617400,420,,,,,0.00%,,0.00%,,,,420,,0.000000%,0.000000%,
乌龙茶,354607930,2.45%,闽南乌龙,354607930,100.00%,安溪铁观音,332416500,93.74%,1624800,332416500,204.59,,,,,0.00%,277.69%,100.00%,277.69%,2.45%,,167.8847889,167.8847889,0.000000%,100.000000%,2.45%
,,,,,,黄金桂,22191430,6.26%,487410,22191430,45.53,700,88500,126.43,277.69%,6.26%,,,,,,,,100.000000%,,
黑茶,219495350,1.52%,安化黑茶,219200000,99.87%,茯砖,102000000,46.53%,680000,102000000,150,54,8810,163.15,108.77%,46.53%,139.04%,99.87%,139.03%,1.52%,,137,471.19476,46.530000%,99.870000%,1.52%
,,,,,,黑砖,12800000,5.84%,80000,12800000,160,26,4620,177.69,111.06%,5.84%,,,,,,,,5.840000%,,
,,,,,,千两,70400000,32.12%,640000,70400000,110,20,3510,175.5,159.55%,32.12%,,,,,,,,32.120000%,,
,,,,,,三尖,34000000,15.51%,200000,34000000,170,23,7740,336.52,197.95%,15.51%,,,,,,,,15.510000%,,
,,,四川黑茶,295350,0.13%,康砖,295350,100.00%,2187,295350,135.05,14,2429,173.5,128.47%,100.00%,128.47%,0.13%,,,,135.05,,100.000000%,0.130000%,
白茶,1650600,0.01%,白毫银针,1036800,62.81%,白毫银针,1036800,100.00%,2880,1036800,360,5,4110,822,228.33%,100.00%,228.33%,62.81%,228.33%,0.01%,,360,291.1111111,100.000000%,100.000000%,0.01%
,,,新工艺白茶,613800,37.19%,新工艺白茶,613800,100.00%,2790,613800,220,,,,,0.00%,,0.00%,,,,220,,0.000000%,0.000000%,
黄茶,1521900,0.01%,黄芽茶,1521900,100.00%,蒙顶黄芽,1521900,100.00%,2670,1521900,570,34,22060,648.82,113.83%,100.00%,113.83%,100.00%,113.83%,0.01%,,570,570,100.000000%,100.000000%,0.01%
花茶,37053690,0.26%,茉莉花茶,37053690,100.00%,四川茉莉花茶,37053690,100.00%,213714,37053690,173.38,417,53588,128.51,74.12%,100.00%,74.12%,100.00%,74.12%,0.26%,,173.38,173.38,100.000000%,100.000000%,0.26%
﻿一级类别,一级销售额,一级权重,二级类别,二级销售额,二级权重,三级类别,三级销售额,三级权重,基期销售量（kg）,基期销售额（元）,基期价格（元/kg）,4月11日销售量（kg）,4月11日销售额(元),4月11日平均价格,三级类指数,三级调整权重,二级类指数,二级调整权重,一级类指数,一级调整权重,总指数,,,三级真实权重,二级真实权重,一级真实权重
绿茶,13288345279,91.79%,名优绿茶,11546655143,86.89%,巴山雀舌,556800,0.00%,1740,556800,320,,,,,0.00%,101.48%,86.89%,122.34%,91.79%,124.89%,344.7141503,151.5328871,0.000000%,86.890000%,91.79%
,,,,,,邓村绿茶,1050000000,9.09%,3500000,1050000000,300,846,59220,70,23.33%,9.09%,,,,,,,,9.103655%,,
,,,,,,峨眉山茶,11527680,0.10%,30336,11527680,380,126,22585,179.25,47.17%,0.10%,,,,,,,,0.100150%,,
,,,,,,贵州针,72825000,0.63%,243000,72825000,299.69,920,264000,286.96,95.75%,0.63%,,,,,,,,0.630946%,,
,,,,,,汉中仙毫,75600000,0.65%,182000,75600000,415.38,260,165420,636.23,153.17%,0.65%,,,,,,,,0.650976%,,
,,,,,,黄山毛峰,360000000,3.12%,1300000,360000000,276.92,4457.5,587747,131.86,47.61%,3.12%,,,,,,,,3.124687%,,
,,,,,,金坛雀舌,58800000,0.51%,49000,58800000,1200,72,69610,966.81,80.57%,0.51%,,,,,,,,0.510766%,,
,,,,,,卷曲形茶,547467900,4.74%,2013578,547467900,271.89,1203,233825,194.37,71.49%,4.74%,,,,,,,,4.747121%,,
,,,,,,六安瓜片,338000000,2.93%,1320000,338000000,256.06,1540,911000,591.56,231.02%,2.93%,,,,,,,,2.934402%,,
,,,,,,马边绿茶,2171400,0.02%,7755,2171400,280,,,,,0.00%,,,,,,,,0.000000%,,
,,,,,,茅山青锋,98560000,0.85%,308000,98560000,320,175,75475,431.29,134.78%,0.85%,,,,,,,,0.851277%,,
,,,,,,湄潭翠芽,111199000,0.96%,121000,111199000,919,75,33600,448,48.75%,0.96%,,,,,,,,0.961442%,,
,,,,,,湄潭毛峰,82620000,0.72%,340000,82620000,243,18,3040,168.89,69.50%,0.72%,,,,,,,,0.721082%,,
,,,,,,蒙顶甘露,7059000,0.06%,13575,7059000,520,,,,,0.00%,,,,,,,,0.000000%,,
,,,,,,蒙顶山茶,12888720,0.11%,35802,12888720,360,307,37080,120.78,33.55%,0.11%,,,,,,,,0.110165%,,
,,,,,,蒲江雀舌,1360590,0.01%,4389,1360590,310,,,,,0.00%,,,,,,,,0.000000%,,
,,,,,,钱塘龙井,142520000,1.23%,367100,142520000,388.23,2230,635500,284.98,73.40%,1.23%,,,,,,,,1.231848%,,
,,,,,,四川扁形茶,2835835000,24.56%,5419500,2835835000,523.27,1186,599084,505.13,96.53%,24.56%,,,,,,,,24.596895%,,
,,,,,,松阳扁茶,373153202,3.23%,861538,373153202,433.12,4652,569762.11,122.48,28.28%,3.23%,,,,,,,,3.234852%,,
,,,,,,松阳香茶,156800000,1.36%,1600000,156800000,98,15503,1225168.45,79.03,80.64%,1.36%,,,,,,,,1.362043%,,
,,,,,,条形茶,1730000000,14.98%,7000000,1730000000,247.14,8459,1150565,136.02,55.04%,14.98%,,,,,,,,15.002504%,,
,,,,,,五峰绿茶,1,0.00%,1,1,1,,,,,0.00%,,,,,,,,0.000000%,,
,,,,,,信阳毛尖,304000000,2.63%,2600000,304000000,116.92,494.5,456500,923.15,789.54%,2.63%,,,,,,,,2.633951%,,
,,,,,,宜宾早茶,3608550,0.03%,10935,3608550,330,,,,,0.00%,,,,,,,,0.000000%,,
,,,,,,永川秀芽,23173200,0.20%,36900,23173200,628,81.5,33820,414.97,66.08%,0.20%,,,,,,,,0.200300%,,
,,,,,,越州龙井,3146929100,27.25%,6130170,3146929100,513.35,3953,2053490,519.48,101.19%,27.25%,,,,,,,,27.290936%,,
,,,大宗绿茶,1741690136,13.11%,炒青绿茶,1524712600,87.54%,50012030,1524712600,30.49,12779,1015464,79.46,260.65%,87.54%,260.65%,13.11%,,,,32.13658256,,100.000000%,13.110000%,
,,,,,,烘青绿茶,216683536,12.44%,4182365,216683536,51.81,,,,,0.00%,,,,,,,,0.000000%,,
,,,,,,蒸青绿茶,294000,0.02%,2100,294000,140,,,,,0.00%,,,,,,,,0.000000%,,
红茶,573439780,3.96%,工夫红茶,496322380,86.55%,川红工夫　,311359600,62.73%,1003090,311359600,310.4,761,186394,244.93,78.91%,62.73%,81.58%,86.55%,81.58%,3.96%,,169.6567639,166.8469967,84.530387%,100.000000%,3.96%
,,,,,,滇红工夫,45334280,9.13%,855360,45334280,53,,,,,0.00%,,,,,,,,0.000000%,,
,,,,,,宜红工夫,45000000,9.07%,450000,45000000,100,,,,,0.00%,,,,,,,,0.000000%,,
,,,,,,昭平红,37636000,7.58%,495200,37636000,76,,,,,0.00%,,,,,,,,0.000000%,,
,,,,,,遵义红,56992500,11.48%,121800,56992500,467.92,6,2700,450,96.17%,11.48%,,,,,,,,15.469613%,,
,,,小种红茶,76500000,13.34%,松阳红茶,76500000,100.00%,510000,76500000,150,,,,,0.00%,,0.00%,,,,150,,0.000000%,0.000000%,
,,,红碎茶,617400,0.11%,南川红碎茶,617400,100.00%,1470,617400,420,,,,,0.00%,,0.00%,,,,420,,0.000000%,0.000000%,
乌龙茶,354607930,2.45%,闽南乌龙,354607930,100.00%,安溪铁观音,332416500,93.74%,1624800,332416500,204.59,,,,,0.00%,283.57%,100.00%,283.57%,2.45%,,167.8847889,167.8847889,0.000000%,100.000000%,2.45%
,,,,,,黄金桂,22191430,6.26%,487410,22191430,45.53,560,72300,129.11,283.57%,6.26%,,,,,,,,100.000000%,,
黑茶,219495350,1.52%,安化黑茶,219200000,99.87%,茯砖,102000000,46.53%,680000,102000000,150,37,6860,185.41,123.60%,46.53%,142.91%,99.87%,142.89%,1.52%,,137,471.19476,46.530000%,99.870000%,1.52%
,,,,,,黑砖,12800000,5.84%,80000,12800000,160,16,2580,161.25,100.78%,5.84%,,,,,,,,5.840000%,,
,,,,,,千两,70400000,32.12%,640000,70400000,110,18,2850,158.33,143.94%,32.12%,,,,,,,,32.120000%,,
,,,,,,三尖,34000000,15.51%,200000,34000000,170,17,6200,364.71,214.53%,15.51%,,,,,,,,15.510000%,,
,,,四川黑茶,295350,0.13%,康砖,295350,100.00%,2187,295350,135.05,13,2275,175,129.58%,100.00%,129.58%,0.13%,,,,135.05,,100.000000%,0.130000%,
白茶,1650600,0.01%,白毫银针,1036800,62.81%,白毫银针,1036800,100.00%,2880,1036800,360,12,8464,705.33,195.93%,100.00%,195.93%,62.81%,195.93%,0.01%,,360,291.1111111,100.000000%,100.000000%,0.01%
,,,新工艺白茶,613800,37.19%,新工艺白茶,613800,100.00%,2790,613800,220,,,,,0.00%,,0.00%,,,,220,,0.000000%,0.000000%,
黄茶,1521900,0.01%,黄芽茶,1521900,100.00%,蒙顶黄芽,1521900,100.00%,2670,1521900,570,31,20368,657.03,115.27%,100.00%,115.27%,100.00%,115.27%,0.01%,,570,570,100.000000%,100.000000%,0.01%
花茶,37053690,0.26%,茉莉花茶,37053690,100.00%,四川茉莉花茶,37053690,100.00%,213714,37053690,173.38,473,65913,139.35,80.37%,100.00%,80.37%,100.00%,80.37%,0.26%,,173.38,173.38,100.000000%,100.000000%,0.26%
﻿一级类别,一级销售额,一级权重,二级类别,二级销售额,二级权重,三级类别,三级销售额,三级权重,基期销售量（kg）,基期销售额（元）,基期价格（元/kg）,4月12日销售量（kg）,4月12日销售额(元),4月12日平均价格,三级类指数,三级调整权重,二级类指数,二级调整权重,一级类指数,一级调整权重,总指数,,,三级真实权重,二级真实权重,一级真实权重
绿茶,13288345279,91.79%,名优绿茶,11546655143,86.89%,巴山雀舌,556800,0.00%,1740,556800,320,,,,,0.00%,107.06%,86.89%,122.28%,91.79%,124.20%,344.7141503,151.5328871,0.000000%,86.890000%,91.79%
,,,,,,邓村绿茶,1050000000,9.09%,3500000,1050000000,300,25,9000,360,120.00%,9.09%,,,,,,,,9.103655%,,
,,,,,,峨眉山茶,11527680,0.10%,30336,11527680,380,174,42902,246.56,64.89%,0.10%,,,,,,,,0.100150%,,
,,,,,,贵州针,72825000,0.63%,243000,72825000,299.69,380,114000,300,100.10%,0.63%,,,,,,,,0.630946%,,
,,,,,,汉中仙毫,75600000,0.65%,182000,75600000,415.38,420,193200,460,110.74%,0.65%,,,,,,,,0.650976%,,
,,,,,,黄山毛峰,360000000,3.12%,1300000,360000000,276.92,2864,373051,130.26,47.04%,3.12%,,,,,,,,3.124687%,,
,,,,,,金坛雀舌,58800000,0.51%,49000,58800000,1200,74.5,67860,910.87,75.91%,0.51%,,,,,,,,0.510766%,,
,,,,,,卷曲形茶,547467900,4.74%,2013578,547467900,271.89,917,182919,199.48,73.37%,4.74%,,,,,,,,4.747121%,,
,,,,,,六安瓜片,338000000,2.93%,1320000,338000000,256.06,1040,587600,565,220.65%,2.93%,,,,,,,,2.934402%,,
,,,,,,马边绿茶,2171400,0.02%,7755,2171400,280,,,,,0.00%,,,,,,,,0.000000%,,
,,,,,,茅山青锋,98560000,0.85%,308000,98560000,320,153.5,61945,403.55,126.11%,0.85%,,,,,,,,0.851277%,,
,,,,,,湄潭翠芽,111199000,0.96%,121000,111199000,919,190,66800,351.58,38.26%,0.96%,,,,,,,,0.961442%,,
,,,,,,湄潭毛峰,82620000,0.72%,340000,82620000,243,13,2100,161.54,66.48%,0.72%,,,,,,,,0.721082%,,
,,,,,,蒙顶甘露,7059000,0.06%,13575,7059000,520,,,,,0.00%,,,,,,,,0.000000%,,
